diseaseid,hpoid
188050,hpo:0011463
188050,hpo:0004419
188050,hpo:0005305
188050,hpo:0002625
146255,hpo:0000006
146255,hpo:0000407
146255,hpo:0000093
146255,hpo:0012622
146255,hpo:0000121
146255,hpo:0000100
146255,hpo:0000829
146255,hpo:0000110
146255,hpo:0000790
146255,hpo:0004722
146255,hpo:0003762
146255,hpo:0008341
146255,hpo:0002049
146255,hpo:0001153
601626,hpo:0000006
601626,hpo:0001428
601626,hpo:0004808
208920,hpo:0000007
208920,hpo:0100543
208920,hpo:0001284
208920,hpo:0001260
208920,hpo:0001337
208920,hpo:0002650
208920,hpo:0001251
208920,hpo:0001761
208920,hpo:0001265
208920,hpo:0001272
208920,hpo:0001268
208920,hpo:0001324
208920,hpo:0003581
208920,hpo:0001332
208920,hpo:0002936
208920,hpo:0002066
208920,hpo:0003621
208920,hpo:0003124
208920,hpo:0003693
208920,hpo:0000726
208920,hpo:0003073
208920,hpo:0001266
208920,hpo:0002078
208920,hpo:0003387
