"drugid"	"g"
"DB00108"	"go:0001541"
"DB00108"	"go:0001910"
"DB00108"	"go:0001975"
"DB00108"	"go:0002291"
"DB00108"	"go:0002457"
"DB00108"	"go:0002693"
"DB00108"	"go:0007157"
"DB00108"	"go:0007159"
"DB00108"	"go:0007569"
"DB00108"	"go:0010212"
"DB00108"	"go:0010477"
"DB00108"	"go:0014070"
"DB00108"	"go:0022614"
"DB00108"	"go:0030155"
"DB00108"	"go:0030838"
"DB00108"	"go:0031669"
"DB00108"	"go:0034698"
"DB00108"	"go:0043200"
"DB00108"	"go:0044406"
"DB00108"	"go:0046688"
"DB00108"	"go:0046718"
"DB00108"	"go:0046813"
"DB00108"	"go:0061028"
"DB00108"	"go:0071312"
"DB00108"	"go:0071347"
"DB00108"	"go:0097368"
"DB00108"	"go:1900027"
"DB00108"	"go:0002438"
"DB00108"	"go:0007155"
"DB00108"	"go:0007605"
"DB00108"	"go:0033627"
"DB00108"	"go:0043547"
"DB00108"	"go:0045471"
"DB00108"	"go:0050731"
"DB00108"	"go:0071333"
"DB00108"	"go:0071356"
"DB00108"	"go:1902042"
"DB00108"	"go:2000352"
"DB00108"	"go:0007596"
"DB00108"	"go:0050901"
"DB00108"	"go:0001974"
"DB00108"	"go:0003366"
"DB00108"	"go:0030183"
"DB00108"	"go:0034113"
"DB00108"	"go:0034446"
"DB00108"	"go:0035987"
"DB00108"	"go:0043113"
"DB00108"	"go:0050904"
"DB00108"	"go:0060324"
"DB00108"	"go:0060710"
"DB00108"	"go:0071345"
"DB00108"	"go:0072678"
"DB00108"	"go:0098657"
"DB00108"	"go:1903238"
"DB00108"	"go:2000406"
"DB00108"	"go:0007160"
"DB00108"	"go:0007229"
"DB00108"	"go:0007507"
"DB00108"	"go:0090074"
"DB00266"	"go:0055114"
"DB00266"	"go:0007601"
"DB00266"	"go:0051289"
"DB00266"	"go:0042178"
"DB00945"	"go:0000060"
"DB00945"	"go:0000122"
"DB00945"	"go:0006461"
"DB00945"	"go:0006915"
"DB00945"	"go:0007219"
"DB00945"	"go:0007265"
"DB00945"	"go:0007275"
"DB00945"	"go:0007596"
"DB00945"	"go:0008283"
"DB00945"	"go:0009651"
"DB00945"	"go:0010628"
"DB00945"	"go:0016032"
"DB00945"	"go:0042981"
"DB00945"	"go:0043066"
"DB00945"	"go:0045861"
"DB00945"	"go:0045892"
"DB00945"	"go:0045893"
"DB00945"	"go:0045944"
"DB00945"	"go:0048147"
"DB00945"	"go:2000379"
"DB00945"	"go:0002309"
"DB00945"	"go:0002931"
"DB00945"	"go:0007406"
"DB00945"	"go:0007569"
"DB00945"	"go:0008156"
"DB00945"	"go:0010165"
"DB00945"	"go:0021549"
"DB00945"	"go:0030154"
"DB00945"	"go:0031065"
"DB00945"	"go:0035690"
"DB00945"	"go:0046902"
"DB00945"	"go:0061419"
"DB00945"	"go:0070266"
"DB00945"	"go:0071158"
"DB00945"	"go:0071479"
"DB00945"	"go:0000733"
"DB00945"	"go:0006978"
"DB00945"	"go:0009303"
"DB00945"	"go:0030330"
"DB00945"	"go:0031052"
"DB00945"	"go:0031497"
"DB00945"	"go:0031571"
"DB00945"	"go:0034103"
"DB00945"	"go:0042771"
"DB00945"	"go:0043153"
"DB00945"	"go:0048512"
"DB00945"	"go:0051097"
"DB00945"	"go:0070245"
"DB00945"	"go:0071494"
"DB00945"	"go:0071850"
"DB00945"	"go:0090403"
"DB00945"	"go:0097252"
"DB00945"	"go:1901525"
"DB00945"	"go:1902108"
"DB00945"	"go:1902253"
"DB00945"	"go:1904024"
"DB00945"	"go:1990144"
"DB00945"	"go:2000269"
"DB00945"	"go:2000378"
"DB00945"	"go:2000772"
"DB00945"	"go:2001244"
"DB00945"	"go:0007369"
"DB00945"	"go:0010666"
"DB00945"	"go:0097193"
"DB00945"	"go:0006289"
"DB00945"	"go:0043504"
"DB00945"	"go:0006284"
"DB00945"	"go:0006302"
"DB00945"	"go:0006977"
"DB00945"	"go:1900740"
"DB00945"	"go:0072363"
"DB00945"	"go:0035794"
"DB00945"	"go:1900119"
"DB00945"	"go:0001701"
"DB00945"	"go:0006355"
"DB00945"	"go:0006367"
"DB00945"	"go:0006983"
"DB00945"	"go:0007050"
"DB00945"	"go:0007179"
"DB00945"	"go:0008104"
"DB00945"	"go:0008340"
"DB00945"	"go:0010467"
"DB00945"	"go:0030308"
"DB00945"	"go:0030512"
"DB00945"	"go:0032461"
"DB00945"	"go:0035264"
"DB00945"	"go:0042149"
"DB00945"	"go:0043525"
"DB00945"	"go:0048568"
"DB00945"	"go:0050731"
"DB00945"	"go:0051262"
"DB00945"	"go:0051402"
"DB00945"	"go:0090200"
"DB00945"	"go:1990440"
"DB00945"	"go:0006281"
"DB00945"	"go:0006974"
"DB00945"	"go:0010332"
"DB00945"	"go:0012501"
"DB00945"	"go:0034613"
"DB00945"	"go:0046677"
"DB00945"	"go:0072332"
"DB00945"	"go:0001836"
"DB00945"	"go:0001756"
"DB00945"	"go:0002326"
"DB00945"	"go:0002360"
"DB00945"	"go:0033077"
"DB00945"	"go:0090399"
"DB00945"	"go:0010888"
"DB00945"	"go:0031663"
"DB00945"	"go:0038095"
"DB00945"	"go:0042127"
"DB00945"	"go:0045087"
"DB00945"	"go:0048011"
"DB00945"	"go:0051092"
"DB00945"	"go:0010745"
"DB00945"	"go:0032270"
"DB00945"	"go:0034138"
"DB00945"	"go:0050852"
"DB00945"	"go:0042994"
